text_id,text,topic,initial_paragraph,is_noise_or_spam_text,related_to_election_2024,toxicity,polarized,profanity_obscenity,threat_incitement_to_violence,insults,identity_attack,sexually_explicit,clean_text_bert,clean_text_tfidf,clean_text
1-1644,"Mahfud MD mendadak ""BISU"". Istimewanya dimana..??? Bahkan dia menyelesaikan pekerjaan yg dia sampaikan sendiri aja tidak bisa. 🤐😷🤐",Disabilitas,,0,1,1,1,0,0,1,0,0,"Mahfud MD mendadak ""BISU"". Istimewanya dimana..?? Bahkan dia menyelesaikan pekerjaan yg dia sampaikan sendiri aja tidak bisa.",mahfud mendadak bisu istimewanya dimana menyelesaikan pekerjaan tidak,mahfud mendadak bisu istimewanya dimana menyelesaikan pekerjaan tidak
2-798,Emang mesti banget dikasih paham produk2 yang pro ke Israel tuh hadehhh anjlok2 dah tu omzetnya,Jewish,,0,0,1,1,0,1,0,0,0,Emang mesti banget dikasih paham produk2 yang pro ke Israel tuh hadehh anjlok2 dah tu omzetnya,emang mesti banget dikasih paham produk pro israel hadeh anjlok dah omzetnya,emang mesti banget dikasih paham produk pro israel hadeh anjlok dah omzetnya
1-947,"Sejak hari itu dinamakan Nakbaday , karena hari itu adalah titik awal mereka zionis Israel mengusir rakyat Palestina. Hari kehancuran dan kesedihan. #PalestinaMelawan #FreePalestine #KejahatanPerang #GazaUnderAttack #BadaiAlAqsa",Jewish,,0,0,0,0,0,0,0,0,0,"Sejak hari itu dinamakan Nakbaday , karena hari itu adalah titik awal mereka zionis Israel mengusir rakyat Palestina. Hari kehancuran dan kesedihan.",dinamakan nakbaday titik zionis israel mengusir rakyat palestina kehancuran kesedihan,dinamakan nakbaday titik zionis israel mengusir rakyat palestina kehancuran kesedihan
2-11914,"Temen presentasi hari ini: ""Kaidah berasal dari bahasa arab ? Saya Kristen 😂"".",Kristen,,0,0,0,0,0,0,0,0,0,"Temen presentasi hari ini: ""Kaidah berasal dari bahasa arab ? Saya Kristen "".",temen presentasi kaidah berasal bahasa arab kristen,temen presentasi kaidah berasal bahasa arab kristen
2-10946,gila ini enak bnget sih Source: ://,Disabilitas,,1,0,0,0,0,0,0,0,0,gila ini enak bnget sih Source: ://,gila enak bnget source,gila enak bnget source
1-5431,Emang boleh seenak ini masakan nya? . tag || Rahmania Astrini Persatuan Indonesia Coldplay LGBT Vagabond 15 M Chris Martin Hindia Viva La Vida Menang Total Betah No 3 Beijing Rwanda CSAT ||,LGBTQ+,,0,0,0,0,0,0,0,0,0,Emang boleh seenak ini masakan nya? . tag || Rahmania Astrini Persatuan Indonesia Coldplay LGBT Vagabond 15 M Chris Martin Hindia Viva La Vida Menang Total Betah No 3 Beijing Rwanda CSAT ||,emang seenak masakan tag rahmania astrini persatuan indonesia coldplay lgbt vagabond chris martin hindia viva vida menang total betah beijing rwanda csat,emang seenak masakan tag rahmania astrini persatuan indonesia coldplay lgbt vagabond chris martin hindia viva vida menang total betah beijing rwanda csat
3-1428,Berkah dari Operasi Taufan Al-Aqsa ✅ 500 ribu orang Yahudi mengungsi ✅ Dan Ribuan orang yahudi melarikan diri ke Eropa tanpa kembali ✅ Kerugian ekonomi Israel mencapai miliaran ✅ Merusak pamor tentara zionis yang disebut tak terkalahkan ✅ Bersatunya umat Islam D,Jewish,,0,0,1,1,0,0,0,1,0,Berkah dari Operasi Taufan Al-Aqsa 500 ribu orang Yahudi mengungsi Dan Ribuan orang yahudi melarikan diri ke Eropa tanpa kembali Kerugian ekonomi Israel mencapai miliaran Merusak pamor tentara zionis yang disebut tak terkalahkan Bersatunya umat Islam D,berkah operasi taufan alaqsa ribu orang yahudi mengungsi ribuan orang yahudi melarikan eropa tanpa kerugian ekonomi israel mencapai miliaran merusak pamor tentara zionis tidak terkalahkan bersatunya umat islam,berkah operasi taufan alaqsa ribu orang yahudi mengungsi ribuan orang yahudi melarikan eropa tanpa kerugian ekonomi israel mencapai miliaran merusak pamor tentara zionis tidak terkalahkan bersatunya umat islam
4-238,"VIVAaceh Lovy HEADLINE NEWS PERDAGANGAN ORANG ROHINGYA KEMENKOPOLHUKAM SEBUT PERDAGANGAN ORANG PENGUNGSI ROHINGYA DI ACEH TERHUBUNG KE COX'S BAZAR BANGLADESH Selengkapnya di www.vivaaceh.com Kemenkopolhukam Sebut Perdagangan Orang Pengungsi Rohingya di Aceh Terhubung ke Cox's Bazar Bangladesh

Deputi Bidang Koordinasi Keamanan dan Ketertiban Masyarakat Kementerian Koordinator Politik, Hukum, dan Keamanan Irjen Rudolf Alberth Rodja mengatakan dugaan perdagangan orang pengungsi Rohingya terhubung dengan Cox's Bazar Yang Ada di Bangladesh. Rudolf mengatakan soal perdagangan orang ini masih terus didalami oleh aparat Keamanan Indonesia.

Baca Selengkapnya Di:

https://www.vivaaceh.com/2024/01/kemenkopolhukam-sebut-perdagangan-orang.html

Cek Link Di Bio!

#vivaaceh #aceh #bandaaceh #acehbesar #zonaaceh #acehbesarnow #kabaraceh #acehjaya #acehtengah #acehtimur #acehbarat #indonesia #acehpidie #wisataaceh",Rohingya,,0,0,0,0,0,0,0,0,0,"VIVAaceh Lovy HEADLINE NEWS PERDAGANGAN ORANG ROHINGYA KEMENKOPOLHUKAM SEBUT PERDAGANGAN ORANG PENGUNGSI ROHINGYA DI ACEH TERHUBUNG KE COX'S BAZAR BANGLADESH Selengkapnya di Kemenkopolhukam Sebut Perdagangan Orang Pengungsi Rohingya di Aceh Terhubung ke Cox's Bazar Bangladesh Deputi Bidang Koordinasi Keamanan dan Ketertiban Masyarakat Kementerian Koordinator Politik, Hukum, dan Keamanan Irjen Rudolf Alberth Rodja mengatakan dugaan perdagangan orang pengungsi Rohingya terhubung dengan Cox's Bazar Yang Ada di Bangladesh. Rudolf mengatakan soal perdagangan orang ini masih terus didalami oleh aparat Keamanan Indonesia. Baca Selengkapnya Di: Cek Link Di Bio!",vivaaceh lovy headline news perdagangan orang rohingya kemenkopolhukam perdagangan orang pengungsi rohingya aceh terhubung coxs bazar bangladesh selengkapnya kemenkopolhukam perdagangan orang pengungsi rohingya aceh terhubung coxs bazar bangladesh deputi bidang koordinasi keamanan ketertiban masyarakat kementerian koordinator politik hukum keamanan irjen rudolf alberth rodja dugaan perdagangan orang pengungsi rohingya terhubung coxs bazar bangladesh rudolf perdagangan orang didalami aparat keamanan indonesia baca selengkapnya cek link bio,vivaaceh lovy headline news perdagangan orang rohingya kemenkopolhukam perdagangan orang pengungsi rohingya aceh terhubung coxs bazar bangladesh selengkapnya kemenkopolhukam perdagangan orang pengungsi rohingya aceh terhubung coxs bazar bangladesh deputi bidang koordinasi keamanan ketertiban masyarakat kementerian koordinator politik hukum keamanan irjen rudolf alberth rodja dugaan perdagangan orang pengungsi rohingya terhubung coxs bazar bangladesh rudolf perdagangan orang didalami aparat keamanan indonesia baca selengkapnya cek link bio
4-3999,@ajegilelu1 @aesculapiusw @katz_bornagain @SpentaMainyu01 @MashudulHAQ1945 @Amox1L1N @Karsono12732862 @antikadrunbang @katz_nadaHQ @LonenyDragon @johnhomebapa @PakThanos27 @AyaniMel @IkaSembiring13 @Kappa_2023 @JhontalJk @ScioCogitoCredo @Greschinove @AnjouDauphin @dy04343703 @HabanglaliK @Royedy6 @JinNonik @tdkistimewa @perbowo @Matahari_tmr @BaimSuhadi @syekh_kyai_lmao @JokoPintar2 @rajenang @Alfatih007Mr @FeriSuryaSugia1 @novi_km @Valhallaah @Adiinotrino @halo_lentera @asasfuro @emanitaa18 @NasrulKohar @DiposuroP @ibn_sjamsu @PaijoKhentir @we_5jog @MelodiAsyik @MarioInferno @aditya_bp @Balistta @oktorivan @Dayak_strong Padahal gw mau bikin kapirun tambah kusut. Karna kalau liat bahasa sehari-hati yesus (aram) bisa dibilang yesus keturunan suryani alias persia alias yesus orang syiah 🤣,Syiah,,0,0,1,0,0,0,1,0,0,Padahal gw mau bikin kapirun tambah kusut. Karna kalau liat bahasa sehari-hati yesus (aram) bisa dibilang yesus keturunan suryani alias persia alias yesus orang syiah,bikin kapirun kusut karna liat bahasa seharihati yesus aram dibilang yesus keturunan suryani alias persia alias yesus orang syiah,bikin kapirun kusut karna liat bahasa seharihati yesus aram dibilang yesus keturunan suryani alias persia alias yesus orang syiah
1-1032,"Fahmi F Muslim dan Jaman Keemasan Islam Berikut ini adalah artikel yang mungkin pernah anda jumpai. Suatu artikel yang membantah klaim jaman keemasan islam di bidang ilmu pengetahuan. Memang tidak dibahas secara detil. Ini juga yang terjadi dengan Abbassid. Apa bakat dan pencapaian dari Rumy, Ibn Arabi, Ibnu Sina dan pemikir2 lain yang terlahir sebagai muslim, yang ada hubungannya dengan Islam? Apa Quran mengajarkan Aljabar, Kimia, Biologi atau Astronomi? Muhammad saja salah dalam pembagian (truncated)",UNKNOWN,,0,0,1,0,0,0,1,0,0,"Fahmi F Muslim dan Jaman Keemasan Islam Berikut ini adalah artikel yang mungkin pernah anda jumpai. Suatu artikel yang membantah klaim jaman keemasan islam di bidang ilmu pengetahuan. Memang tidak dibahas secara detil. Ini juga yang terjadi dengan Abbassid. Apa bakat dan pencapaian dari Rumy, Ibn Arabi, Ibnu Sina dan pemikir2 lain yang terlahir sebagai muslim, yang ada hubungannya dengan Islam? Apa Quran mengajarkan Aljabar, Kimia, Biologi atau Astronomi? Muhammad saja salah dalam pembagian (truncated)",fahmi muslim jaman keemasan islam artikel jumpai artikel membantah klaim jaman keemasan islam bidang ilmu pengetahuan tidak dibahas detil abbassid bakat pencapaian rumy ibn arabi ibnu sina pemikir terlahir muslim hubungannya islam quran mengajarkan aljabar kimia biologi astronomi muhammad salah pembagian truncated,fahmi muslim jaman keemasan islam artikel jumpai artikel membantah klaim jaman keemasan islam bidang ilmu pengetahuan tidak dibahas detil abbassid bakat pencapaian rumy ibn arabi ibnu sina pemikir terlahir muslim hubungannya islam quran mengajarkan aljabar kimia biologi astronomi muhammad salah pembagian truncated
